,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
0,CULS,./CULS/plot_1_annotated.las,1101,tree_1,30.46520728,59.608,210.305256,26.96,3400,114.5101158,3400,0.933686526,0.67144,0.781140266,84.2736242,15.02252834,28.672329,2187.735393,94566,43.22552,plot_1_annotated.las
1,CULS,./CULS/plot_1_annotated.las,1102,tree_2,24.48474239,44.968,133.4435332,22.8,3400,70.97013258,3400,0.927856481,0.68776,0.789967893,62.96563706,15.51670628,23.8369175,1362.467776,44259,32.484438,plot_1_annotated.las
2,CULS,./CULS/plot_1_annotated.las,1103,tree_3,25.73886614,48.864,118.4770666,25.88,3400,56.73665077,3400,0.92121538,0.81443,0.864537711,71.46652009,21.59214879,26.22867,1968.029339,74380,37.794152,plot_1_annotated.las
3,CULS,./CULS/plot_1_annotated.las,1104,tree_4,21.47255752,34.768,100.3514098,20.92,3400,42.40607965,3400,0.949348627,0.75475,0.840938271,52.55219049,19.94977811,22.9630255,1051.600511,40453,38.46803,plot_1_annotated.las
4,CULS,./CULS/plot_1_annotated.las,1106,tree_5,25.48236838,45.8,117.1214177,24.36,3400,56.26699335,3400,0.932491419,0.77774,0.848114317,68.33410887,17.85955923,25.5697135,1579.777155,53608,33.9339,plot_1_annotated.las
5,CULS,./CULS/plot_1_annotated.las,1108,tree_6,13.56105514,25.832,72.99704977,13.12,3400,37.49159442,3400,0.9509001,0.70984,0.812874847,29.17785626,8.818350058,13.079601,1451.296625,25886,17.836464,plot_1_annotated.las
6,CULS,./CULS/plot_2_annotated.las,2101,tree_7,25.23366448,35.112,116.7950173,23.92,3400,44.55679432,3400,0.95126278,0.80138,0.86991254,47.2569515,12.73259696,26.591415,1144.67657,42842,37.427166,plot_2_annotated.las
7,CULS,./CULS/plot_2_annotated.las,2102,tree_8,21.9733236,45.776,173.4221057,21.52,3400,73.68762545,3400,0.916876894,0.60396,0.728226638,53.00093226,9.907674726,21.55597,2161.661272,63027,29.156742,plot_2_annotated.las
8,CULS,./CULS/plot_2_annotated.las,2103,tree_9,29.689313,45.392,172.6722547,26.84,3400,92.28946356,3400,0.934974284,0.61793,0.74408792,63.27935242,16.41729189,29.2124435,1601.208405,57162,35.699288,plot_2_annotated.las
9,CULS,./CULS/plot_2_annotated.las,2104,tree_10,24.13424913,36.504,127.7808824,22.4,3400,70.51293657,3400,0.958829418,0.61353,0.748264813,49.28710179,14.57944235,22.783347,1363.362404,46951,34.437652,plot_2_annotated.las
